 4000,    1,   1171.7,      18.2,    1173.6,      18.2,    1174.4,      18.2
 5200,    2,   1476.5,      15.9,    1831.7,      12.8,    1274.7,      18.4
 6400,    4,   1591.6,      13.7,    1995.4,      10.9,    1189.0,      18.4
 8000,    8,   1879.4,      11.4,    2112.6,      10.1,    1172.3,      18.2
10200,   16,   2475.1,       8.9,    2299.2,       9.6,    1238.5,      17.9
12800,   32,   3346.8,       6.5,    2375.7,       9.2,    1270.1,      17.2
16000,   64,   4750.2,       4.5,    2461.9,       8.7,    1337.3,      16.0
17400,   80,   5587.5,       3.9,    2597.0,       8.5,    1461.4,      15.0
